date,openPrice,highPrice,lowPrice,closePrice,volume,gain,loss,avgGain,avgLoss,rsi,movingAvg,momentum,upperThreshold,lowerThreshold
2024-01-01,104.81,212.62,81.98,163.52,4852217,2.03,4.8,2.09,4.76,46.12,100.44,9,120.48,95.32
2024-01-02,198.2,219.1,83.4,129.09,3276654,3.79,6.63,4.59,4.57,53.39,134.35,3,112.77,94.16
2024-01-03,187.46,236.13,92.68,152.73,3083066,8.8,9.81,2.52,1.8,56.04,107.83,6,120.12,99.24
2024-01-04,188.74,207.06,80.65,173.75,4514506,8.22,7.98,1.69,2.94,47.19,139.76,3,111.31,107.16
2024-01-05,157.92,226.67,97.44,103.58,4256045,1.45,7.12,2.42,2.74,62.27,160.45,9,117.14,104.97
2024-01-06,162.19,220.95,96.26,160.66,2688777,2.77,4.38,4.56,1.29,40.7,119.71,5,114.53,90.57
2024-01-07,198.65,226.34,98.18,195.99,2473994,6.58,1.17,2.75,2.59,54.0,157.34,7,110.45,91.65
2024-01-08,186.57,204.16,87.86,126.87,2824783,8.59,9.38,2.69,1.47,63.07,166.92,4,118.55,107.36
2024-01-09,199.52,217.78,92.47,175.61,1992459,2.24,8.97,1.02,1.57,45.84,194.47,3,115.68,90.95
2024-01-10,167.93,224.15,99.33,115.02,1714089,5.51,2.8,2.24,2.05,41.2,126.86,8,117.3,102.8
2024-01-11,199.47,203.83,93.64,161.62,3098927,6.77,8.86,4.26,4.93,60.41,127.73,9,122.34,92.36
2024-01-12,106.64,223.5,93.57,198.33,3385140,7.43,8.8,4.95,4.31,50.2,107.08,4,119.5,104.23
2024-01-13,141.56,211.45,85.01,163.3,4270722,1.9,6.78,1.25,1.91,45.38,123.1,4,115.96,95.7
2024-01-14,108.74,234.08,85.73,108.53,2574158,1.05,4.54,1.87,3.83,38.52,113.3,9,127.83,105.86
2024-01-15,105.01,237.46,91.38,182.68,1699256,7.91,6.34,2.75,4.76,49.81,186.05,7,111.06,101.33
