date,openPrice,highPrice,lowPrice,closePrice,volume,gain,loss,avgGain,avgLoss,rsi,movingAvg,momentum,upperThreshold,lowerThreshold
2024-01-01,188.92,201.04,90.45,143.53,2951761,9.63,5.94,3.66,4.98,60.63,134.86,7,119.0,105.47
2024-01-02,130.4,228.02,89.12,116.79,4975896,5.89,7.93,3.34,4.57,64.28,196.07,5,127.94,108.85
2024-01-03,102.91,225.26,99.75,186.9,1894748,7.5,3.8,2.43,1.7,55.74,189.31,4,116.86,96.07
2024-01-04,108.65,235.38,97.33,179.26,1365951,2.37,2.16,1.15,4.05,48.38,168.76,7,117.41,99.92
2024-01-05,152.39,219.91,92.3,123.5,1710949,1.17,4.94,3.57,1.58,53.72,117.66,5,114.53,97.74
2024-01-06,194.13,208.68,99.79,130.23,3533634,8.95,6.66,4.01,4.71,57.79,175.84,4,125.55,103.38
2024-01-07,148.57,230.66,98.92,111.81,1194713,6.49,1.49,2.4,1.35,31.38,163.22,3,120.13,98.98
2024-01-08,178.62,237.56,94.8,120.86,4922730,7.98,7.48,3.53,4.05,63.66,165.04,5,110.15,97.6
2024-01-09,119.51,206.31,81.71,199.72,1011908,3.99,5.91,1.27,2.22,35.53,191.5,7,111.04,90.75
2024-01-10,104.01,247.43,99.6,102.02,4117955,1.84,6.94,1.31,1.27,41.44,111.53,9,123.49,106.14
2024-01-11,152.44,227.22,97.18,156.21,1578719,4.71,6.45,1.22,4.01,51.53,125.13,1,129.08,109.57
2024-01-12,181.8,210.07,99.09,150.96,3095537,4.34,2.52,4.08,4.05,57.48,166.92,6,129.91,95.03
2024-01-13,141.31,211.29,95.53,161.28,2980481,7.36,5.36,3.65,3.36,62.1,156.11,5,123.02,99.28
2024-01-14,166.13,214.89,82.39,130.73,3226134,4.11,6.31,3.31,4.74,48.73,134.66,3,110.57,104.52
2024-01-15,145.68,215.96,97.21,185.31,2959044,2.12,4.54,2.33,3.4,58.39,161.82,4,112.93,94.22
