date,openPrice,highPrice,lowPrice,closePrice,volume,gain,loss,avgGain,avgLoss,rsi,movingAvg,momentum,upperThreshold,lowerThreshold
2024-01-01,152.43,236.9,96.09,168.03,3645111,7.45,2.33,2.51,4.15,52.16,192.13,6,119.21,104.67
2024-01-02,195.24,220.31,81.79,134.06,1674957,7.77,4.15,1.31,4.5,58.29,164.18,6,112.4,99.68
2024-01-03,172.14,224.01,81.85,162.63,3479107,9.74,8.9,2.1,4.86,39.29,170.93,1,123.38,102.99
2024-01-04,117.91,227.56,92.91,115.71,4974421,3.5,5.5,1.05,1.08,34.17,122.99,7,128.25,109.89
2024-01-05,181.11,239.72,82.02,138.67,3741333,7.08,9.48,3.83,3.72,40.42,137.74,9,110.11,98.38
2024-01-06,109.22,210.41,81.54,163.03,3012861,6.36,8.62,4.43,2.23,32.36,169.81,7,113.05,98.98
2024-01-07,131.5,214.78,86.98,138.0,3796995,7.64,2.02,1.5,3.02,32.63,199.56,7,117.05,100.68
2024-01-08,148.68,244.23,88.3,173.4,2875195,7.45,2.14,3.54,4.41,61.52,153.83,3,126.5,108.42
2024-01-09,152.95,200.29,89.68,173.41,2947325,9.89,4.46,3.12,3.58,32.03,113.26,7,119.63,96.13
2024-01-10,187.73,230.6,89.53,165.99,1229635,5.33,5.69,2.97,4.45,41.68,135.42,1,113.0,101.69
2024-01-11,113.56,218.27,83.23,156.12,1905896,1.23,1.8,1.94,4.43,54.89,197.64,3,112.28,106.05
2024-01-12,125.38,214.8,92.67,125.82,1007377,9.36,5.34,3.71,1.18,57.85,139.15,2,119.88,90.09
2024-01-13,145.98,230.74,83.94,100.91,2214290,8.14,3.99,2.11,1.22,47.49,196.2,2,123.01,102.86
2024-01-14,156.64,200.55,80.62,160.44,1406681,2.87,8.23,3.39,2.96,31.2,195.21,5,125.92,97.69
2024-01-15,136.51,202.06,94.29,197.15,1175545,2.18,7.13,1.27,3.54,50.33,100.32,9,126.62,97.04
