date,openPrice,highPrice,lowPrice,closePrice,volume,gain,loss,avgGain,avgLoss,rsi,movingAvg,momentum,upperThreshold,lowerThreshold
2024-01-01,122.99,205.91,99.58,102.58,4898756,8.3,6.15,2.31,1.18,46.97,111.67,3,112.32,90.44
2024-01-02,131.95,223.09,83.65,157.89,4350871,5.82,5.99,3.57,1.84,50.42,143.3,4,117.33,100.31
2024-01-03,123.11,211.22,88.51,171.68,3217871,3.7,1.2,1.94,4.19,53.81,192.68,3,122.23,107.54
2024-01-04,128.21,201.32,97.84,143.36,3744178,8.91,5.34,3.78,1.81,31.06,184.28,4,118.89,98.1
2024-01-05,116.83,218.76,99.04,155.33,2151657,8.46,1.98,1.31,4.32,54.88,152.51,2,129.26,93.39
2024-01-06,152.08,222.09,98.83,106.12,1082402,4.29,9.92,2.87,3.1,61.82,102.27,9,118.36,95.26
2024-01-07,150.0,219.25,85.71,154.57,1411860,4.67,1.02,3.57,3.39,43.4,106.26,1,119.6,99.02
2024-01-08,116.32,238.8,99.79,119.63,1208353,4.25,7.76,1.42,3.75,47.14,195.33,4,120.38,104.56
2024-01-09,198.19,234.28,81.32,117.62,3580973,8.76,9.17,3.16,2.79,33.67,140.24,3,128.22,96.99
2024-01-10,112.67,211.57,82.36,100.79,1362409,7.24,8.87,2.58,2.58,65.28,198.76,1,129.52,103.13
2024-01-11,187.76,216.75,84.27,140.21,4464006,6.47,7.38,3.22,3.3,39.28,178.06,5,119.19,107.16
2024-01-12,121.01,240.97,88.27,158.13,1578437,3.48,5.18,1.48,3.78,43.06,155.66,5,128.48,91.72
2024-01-13,166.25,210.8,97.8,120.98,2375276,8.28,1.25,1.3,3.35,36.73,157.21,1,121.26,108.39
2024-01-14,127.08,245.55,99.33,113.52,4444694,3.41,6.1,4.89,4.44,66.46,148.13,4,122.25,108.88
2024-01-15,105.09,204.34,84.79,173.27,4534743,6.8,9.27,2.97,3.97,31.76,183.56,4,117.59,107.11
