date,openPrice,highPrice,lowPrice,closePrice,volume,gain,loss,avgGain,avgLoss,rsi,movingAvg,momentum,upperThreshold,lowerThreshold
2024-01-01,106.65,239.24,80.54,115.47,1633003,4.11,5.11,3.12,2.99,51.58,185.48,8,118.12,93.43
2024-01-02,190.3,231.94,99.97,121.66,3159544,7.59,3.06,1.9,4.21,49.56,197.91,4,114.19,94.03
2024-01-03,109.73,220.78,94.48,138.97,4062027,1.97,6.35,3.72,3.75,51.86,170.87,2,117.1,104.91
2024-01-04,142.33,243.18,91.93,185.95,1996746,6.51,3.23,2.27,4.13,44.66,178.18,7,112.52,100.05
2024-01-05,197.08,212.84,98.15,181.48,4575650,3.84,1.59,4.59,3.88,42.65,138.78,8,113.64,106.49
2024-01-06,154.93,206.4,98.78,163.36,1798409,4.07,9.9,4.31,3.43,32.4,122.6,6,112.32,102.41
2024-01-07,150.74,207.09,96.97,135.47,4822076,7.7,5.24,4.06,4.37,39.77,124.56,5,124.39,100.51
2024-01-08,107.52,204.47,97.23,164.06,3032489,8.98,6.49,4.32,1.8,62.58,134.9,9,116.57,98.96
2024-01-09,128.88,244.84,90.32,187.29,4553384,4.98,6.14,4.68,2.21,55.81,105.47,4,127.09,102.55
2024-01-10,109.75,242.07,88.12,159.3,1538784,3.33,9.12,1.66,3.75,44.04,133.72,3,125.73,92.31
2024-01-11,170.93,249.99,83.86,170.81,2784349,6.4,3.19,3.38,3.13,44.13,179.25,3,113.27,109.18
2024-01-12,189.97,244.17,80.04,148.99,1639106,9.59,3.23,4.94,4.72,39.48,116.55,4,124.43,97.24
2024-01-13,159.64,221.87,85.3,127.66,3956756,2.8,4.49,3.39,3.39,52.64,150.69,8,125.77,105.81
2024-01-14,187.23,242.87,80.86,105.13,3987272,9.8,6.63,2.98,1.66,36.68,193.0,1,126.01,104.93
2024-01-15,122.32,208.01,93.4,135.03,2974195,9.79,9.8,4.65,4.27,31.89,144.69,7,126.7,97.93
