date,openPrice,highPrice,lowPrice,closePrice,volume,gain,loss,avgGain,avgLoss,rsi,movingAvg,momentum,upperThreshold,lowerThreshold
2024-01-01,185.16,238.89,81.55,145.66,3648560,2.07,7.74,2.86,3.55,61.78,127.73,8,116.73,91.45
2024-01-02,163.53,228.77,92.83,117.51,2319569,8.4,3.77,1.98,3.5,42.31,142.66,6,116.67,109.65
2024-01-03,188.61,245.88,94.65,146.38,3041600,3.8,8.54,1.66,2.63,64.63,162.42,7,124.8,98.38
2024-01-04,175.63,246.38,88.31,178.91,2600299,7.36,2.39,1.45,1.98,69.96,136.58,8,114.03,107.39
2024-01-05,169.53,206.67,91.91,173.85,3643536,4.84,5.37,3.74,4.01,37.87,169.18,3,112.78,100.6
2024-01-06,132.41,212.88,93.89,146.25,2966719,7.94,9.02,3.0,4.68,54.67,171.38,2,122.35,98.0
2024-01-07,147.93,222.91,92.29,141.94,3379487,1.39,7.75,2.64,1.15,40.81,142.69,9,124.67,109.24
2024-01-08,163.69,208.56,91.58,162.69,2454540,9.07,1.6,2.54,2.5,52.26,155.26,1,127.68,92.72
2024-01-09,150.77,227.39,87.25,135.96,4283994,3.29,7.85,4.98,1.16,37.42,182.17,7,120.17,108.18
2024-01-10,109.49,218.39,85.79,130.84,2287460,2.06,6.89,3.54,1.16,41.38,179.38,4,110.62,94.18
2024-01-11,176.32,232.23,97.24,183.43,4578734,8.19,3.7,2.28,4.93,49.84,167.44,6,120.45,103.17
2024-01-12,133.93,240.27,80.07,185.02,2209615,3.45,4.87,4.25,2.24,41.14,166.16,3,113.98,90.84
2024-01-13,151.03,241.68,87.6,131.17,2795708,8.39,7.75,1.45,2.25,69.36,108.65,7,128.94,106.45
2024-01-14,114.93,218.37,85.99,136.87,1118327,6.04,3.07,2.59,2.96,34.89,169.35,1,112.85,99.84
2024-01-15,194.96,244.48,83.13,172.42,4102414,3.11,9.64,2.51,4.97,34.34,116.08,4,127.91,100.78
