date,openPrice,highPrice,lowPrice,closePrice,volume,gain,loss,avgGain,avgLoss,rsi,movingAvg,momentum,upperThreshold,lowerThreshold
2024-01-01,123.83,228.36,86.03,193.63,3330480,2.49,9.16,2.26,4.09,34.54,108.41,7,126.66,95.25
2024-01-02,111.87,241.7,94.19,157.45,3986049,7.82,8.55,4.36,1.7,33.15,188.08,9,128.43,101.14
2024-01-03,185.65,211.45,98.97,161.23,4425875,2.65,6.37,2.52,3.86,42.83,151.66,9,117.23,98.18
2024-01-04,159.83,248.94,90.32,142.0,2727017,8.61,4.01,1.08,3.8,59.44,126.7,2,126.28,100.64
2024-01-05,165.25,248.32,91.11,110.27,4927324,9.39,8.34,1.57,4.76,35.22,165.2,1,126.72,109.93
2024-01-06,154.09,217.6,94.41,103.36,2140475,1.29,6.19,3.41,3.19,69.58,185.77,2,122.36,96.85
2024-01-07,148.29,222.08,93.06,183.19,3353734,8.74,6.36,3.22,4.93,62.37,184.08,9,117.29,97.67
2024-01-08,115.64,228.47,92.19,167.6,3344166,2.5,7.46,1.66,1.04,30.0,110.66,8,114.69,90.83
2024-01-09,106.7,241.47,80.37,166.94,4737435,8.7,1.9,2.34,1.44,61.05,196.87,2,123.69,108.01
2024-01-10,163.5,229.71,86.1,185.88,1474374,3.05,1.23,1.04,4.16,55.44,105.87,8,128.15,105.73
2024-01-11,179.14,222.61,97.64,165.84,1594277,9.16,4.68,2.84,2.83,37.0,121.5,5,127.63,95.98
2024-01-12,186.24,214.6,94.63,100.97,3716131,4.43,7.47,1.51,1.16,35.62,119.58,3,123.92,101.74
2024-01-13,150.63,241.89,95.36,103.18,3959224,9.12,7.68,3.92,1.35,30.24,149.47,1,118.77,90.89
2024-01-14,168.85,213.44,93.33,145.09,2152261,3.56,2.7,2.97,4.96,55.87,140.61,2,118.46,100.21
2024-01-15,166.13,206.5,95.38,163.09,1273165,5.23,2.95,4.23,4.97,46.11,192.27,6,113.22,102.04
