date,openPrice,highPrice,lowPrice,closePrice,volume,gain,loss,avgGain,avgLoss,rsi,movingAvg,momentum,upperThreshold,lowerThreshold
2024-01-01,122.97,206.26,86.64,139.78,3925986,2.28,7.3,4.07,2.6,51.25,195.81,8,112.8,97.24
2024-01-02,115.96,234.63,91.46,117.51,4865696,7.45,3.09,4.06,4.87,60.19,129.41,2,113.6,92.73
2024-01-03,185.6,217.54,80.09,103.15,3693511,8.67,5.14,4.35,4.11,53.13,174.9,4,110.59,102.01
2024-01-04,156.16,225.11,81.36,136.8,2188565,1.54,1.51,4.82,3.68,64.52,172.7,2,127.11,93.44
2024-01-05,180.35,248.1,85.91,153.47,1948209,3.88,9.38,3.94,3.51,30.09,151.1,4,126.84,93.3
2024-01-06,183.57,243.3,99.62,113.96,3864868,7.89,7.6,1.26,4.26,55.72,164.78,2,115.97,91.0
2024-01-07,165.23,236.39,85.32,111.59,2098360,4.31,4.49,2.39,4.28,30.88,129.51,9,126.9,107.6
2024-01-08,189.1,212.61,81.81,137.59,4515983,9.01,4.86,3.75,1.77,39.39,138.46,4,129.43,93.01
2024-01-09,171.79,228.65,87.51,170.26,3663780,8.5,3.16,1.32,3.62,30.05,152.62,4,111.03,105.86
2024-01-10,101.93,200.81,99.37,183.84,4282830,4.94,5.92,2.97,3.87,64.09,198.62,3,120.58,107.97
2024-01-11,193.81,231.78,80.51,102.22,2541865,4.48,5.53,4.62,1.45,57.94,157.41,1,111.32,106.32
2024-01-12,126.96,218.6,93.94,168.98,1785925,3.48,7.75,1.11,3.42,59.47,129.63,9,117.25,90.56
2024-01-13,172.98,203.68,92.17,112.16,4096819,9.16,4.43,3.85,1.33,44.88,104.37,8,114.41,100.07
2024-01-14,136.59,211.65,94.34,167.65,2079343,9.1,2.74,4.53,4.91,42.38,107.44,5,121.11,103.99
2024-01-15,142.74,241.07,91.35,116.3,3175484,8.44,5.23,1.24,1.11,37.24,118.07,9,126.02,96.7
