date,openPrice,highPrice,lowPrice,closePrice,volume,gain,loss,avgGain,avgLoss,rsi,movingAvg,momentum,upperThreshold,lowerThreshold
2024-01-01,144.58,235.26,89.15,137.77,2049076,2.07,2.53,3.91,1.91,57.38,105.84,3,114.05,104.52
2024-01-02,153.59,243.49,95.62,126.17,2402769,7.27,8.14,2.64,3.54,37.03,159.91,6,115.13,92.27
2024-01-03,116.56,219.89,86.82,198.03,3498183,3.6,6.29,1.56,3.63,65.62,170.06,8,121.71,105.45
2024-01-04,118.71,242.6,83.53,181.94,3697866,1.85,8.83,3.37,3.73,69.39,188.05,8,119.96,98.19
2024-01-05,175.56,226.21,98.91,176.74,2695375,9.9,5.12,4.71,3.07,69.99,145.17,2,114.92,90.76
2024-01-06,145.15,237.9,96.65,102.22,1866382,4.51,2.31,4.72,3.26,51.48,121.4,4,126.7,90.8
2024-01-07,142.73,208.61,87.34,156.21,2524029,1.85,5.24,1.05,4.14,49.01,138.91,4,117.51,99.21
2024-01-08,103.26,228.86,91.26,100.37,4614551,3.21,9.25,1.0,1.19,60.64,172.55,7,119.04,102.91
2024-01-09,132.84,221.0,89.37,187.51,3699313,6.97,9.98,4.65,3.69,50.09,118.86,2,115.36,96.03
2024-01-10,109.49,228.77,81.18,152.89,3841899,6.92,5.07,2.49,3.68,59.71,180.17,7,116.29,109.83
2024-01-11,164.0,235.84,84.91,124.74,3328631,8.8,7.06,3.46,2.11,46.33,109.93,2,113.99,96.4
2024-01-12,134.43,248.57,90.74,119.76,1235298,9.32,1.26,1.3,3.09,37.54,158.95,5,116.44,102.11
2024-01-13,168.57,224.09,82.14,123.07,1015042,6.97,8.76,2.09,4.14,66.72,136.03,1,112.66,99.51
2024-01-14,192.57,204.15,91.54,171.28,3489620,8.72,5.3,2.59,2.95,49.88,143.38,9,127.52,100.64
2024-01-15,140.17,204.4,92.05,170.75,4466938,3.06,4.04,3.94,3.39,47.9,146.87,3,124.34,107.71
